,feature,importance
0,ci20m042_0,21.879419326782227
1,ci20m001_Missing,19.844024658203125
2,cd19l093_1,19.29401397705078
3,ci20m374_0,18.68667984008789
4,ci20m092_0,18.618181228637695
5,ci18k264_Missing,17.952465057373047
6,ci20m008_Missing,15.850923538208008
7,ci16i253_3,15.765630722045898
8,ch08b003_1,14.766073226928711
9,ci18k229_5,14.482325553894043
10,ci14g209_Missing,14.460623741149902
11,ci19l001_Missing,14.413713455200195
12,ci20m175_2,13.774985313415527
13,ci19l264_3,13.027412414550781
14,ci18k001_Missing,12.915098190307617
15,ci20m001_5,12.184678077697754
16,ci08a040_0,12.104229927062988
17,ci12e296_Missing,11.564149856567383
18,ci20m205_3,11.51388168334961
19,ci16i100_0,11.347588539123535
20,ci20m040_0,11.084545135498047
21,ci18k252_5,10.886053085327148
22,ci19l309_5,10.751941680908203
23,ci11d006_Missing,10.713214874267578
24,ci15h355_1,10.572093963623047
25,ci18k309_1,10.493698120117188
26,ci19l005_8,10.076639175415039
27,ch17j004_Missing,10.012152671813965
28,ci20m265_Missing,9.995626449584961
29,cd18k073_2,9.97256851196289
30,ci19l307_1,9.886922836303711
31,ci17j246_0,9.848687171936035
32,ci12e261_3,9.755159378051758
33,ci16i011_3,9.729198455810547
34,ci20m213_2,9.60371208190918
35,ci16i209_Missing,9.540547370910645
36,ci20m003_0,9.46694564819336
37,ci18k307_1,9.338223457336426
38,ci14g150_0,9.283466339111328
39,ci20m294_0,9.196386337280273
40,ci10c100_0,9.073502540588379
41,ci17j309_5,8.950557708740234
42,cd20m093_Missing,8.920337677001953
43,ch15h005_3,8.849320411682129
44,ci08a001_5,8.742330551147461
45,ci20m265_4,8.678987503051758
46,ci12e006_Missing,8.594799995422363
47,ci20m309_5,8.517477989196777
48,ci19l383_7,8.503729820251465
49,ci14g261_Missing,8.501749038696289
50,ci08a099_0,8.361144065856934
51,ci20m383_7,8.337580680847168
52,cd20m074_3,8.25875186920166
53,ci20m006_Missing,8.25382137298584
54,cd20m093_1,8.249911308288574
55,ci14g004_1,8.249212265014648
56,ci15h252_4,8.22228717803955
57,ci15h211_3,8.204460144042969
58,ci09b238_1,8.185834884643555
59,ci17j241_2,8.138509750366211
60,ci17j305_1,8.008214950561523
61,ci19l306_3,7.914124965667725
62,ci13f221_2,7.907750129699707
63,ci10c100_1,7.903164863586426
64,ci17j251_1,7.903160572052002
65,ci14g242_2,7.901856422424316
66,ci12e241_Missing,7.873287200927734
67,ch18k005_5,7.829784393310547
68,ci14g241_2,7.823601722717285
69,ci17j255_Missing,7.817008972167969
70,ci19l378_8,7.774303436279297
71,ci14g006_7,7.771171569824219
72,ci12e209_Missing,7.709404468536377
73,ci16i307_1,7.683928489685059
74,ci18k309_5,7.674347877502441
75,ci20m203_2,7.596132755279541
76,ci18k004_0,7.589239597320557
77,cd20m075_5,7.588994979858398
78,ci20m255_Missing,7.583621501922607
79,ci20m240_3,7.538751125335693
80,ci19l354_1,7.53740930557251
81,ci13f341_0,7.531067371368408
82,ci08a146_1,7.484731674194336
83,ci17j004_1,7.473944664001465
84,ci19l265_3,7.441773891448975
85,ci17j152_0,7.408517837524414
86,ci16i099_1,7.37188196182251
87,ci20m087_0,7.335090160369873
88,ci15h146_1,7.234629154205322
89,cd18k052_1,7.231884956359863
90,ci15h307_5,7.202335357666016
91,ci19l240_3,7.162652015686035
92,ci14g179_0,7.117441177368164
93,ci17j251_0,7.081040382385254
94,ci11d209_Missing,7.0776214599609375
95,ci20m099_0,7.063052177429199
96,ci20m307_1,7.036567687988281
97,ci17j239_2,7.022431373596191
98,ci16i004_0,6.9861531257629395
99,ci19l239_2,6.945674419403076
100,ci16i313_1,6.8626484870910645
101,ci17j254_1,6.783695220947266
102,ci17j263_10,6.733423233032227
103,ci10c146_1,6.706478118896484
104,ci16i245_0,6.6937713623046875
105,ci17j065_2,6.692814350128174
106,ci13f251_1,6.684624671936035
107,ci20m327_1,6.684338569641113
108,ci19l007_5,6.670390605926514
109,ch18k004_Missing,6.665506362915039
110,ci17j016_0,6.640780925750732
111,ci13f088_0,6.6000823974609375
112,cd17j075_3,6.591365814208984
113,ci20m177_2,6.572484016418457
114,ci17j309_1,6.563194751739502
115,ci18k101_0,6.562180042266846
116,ci20m037_0,6.560164928436279
117,ci11d175_2,6.534222602844238
118,ci16i305_1,6.519805908203125
119,ci13f209_Missing,6.515813827514648
120,cd15h076_3,6.509204864501953
121,ch13g003_0,6.492467880249023
122,ci14g153_0,6.4675798416137695
123,ci14g001_1,6.465946197509766
124,ci19l309_1,6.464393615722656
125,ci15h263_7,6.453014373779297
126,ci12e011_Missing,6.449413299560547
127,ci17j067_0,6.434784412384033
128,ci11d316_3,6.410637855529785
129,ci19l229_4,6.391006946563721
130,ci14g307_3,6.3711957931518555
131,ci18k311_Missing,6.357179641723633
132,ci10c008_2,6.356832027435303
133,ci18k262_6,6.192502975463867
134,ci11d100_1,6.188139915466309
135,ci19l356_4,6.186931133270264
136,ci13f260_4,6.126999378204346
137,ch20m004_Missing,6.088670253753662
138,ci15h261_4,6.079655647277832
139,ci09b317_2,6.061206817626953
140,ci20m265_3,6.032779216766357
141,ci19l307_3,6.027768611907959
142,ci10c145_0,6.024901390075684
143,ci17j349_3,5.982982158660889
144,ci18k153_0,5.978969097137451
145,ci17j240_3,5.975118637084961
146,ci08a251_0,5.9570159912109375
147,ci08a242_2,5.946043968200684
148,ci18k349_2,5.930276870727539
149,ci17j355_5,5.928744316101074
150,ci20m254_1,5.91212797164917
151,ci14g348_2,5.910841941833496
152,ci15h356_3,5.875609397888184
153,ci14g251_1,5.87129545211792
154,ci16i239_2,5.869270324707031
155,ci16i355_3,5.867997169494629
156,ch09c005_2,5.829937934875488
157,ci12e007_6,5.789999961853027
158,ci10c317_3,5.784426689147949
159,ci19l313_1,5.773505210876465
160,ci20m252_3,5.766976833343506
161,ci15h244_10,5.758914470672607
162,cd18k076_5,5.755690097808838
163,ci18k229_Missing,5.753076553344727
164,ci20m239_2,5.729137420654297
165,ci12e316_2,5.723052501678467
166,cd17j077_4,5.720206260681152
167,ci19l226_8,5.7016377449035645
168,ch16i005_4,5.697151184082031
169,ch19l004_3,5.693300724029541
170,ci17j242_3,5.689367771148682
171,ci15h101_0,5.689059257507324
172,ci11d101_1,5.681640625
173,ci11d177_2,5.674472332000732
174,ci19l373_4,5.674020767211914
175,ci18k154_0,5.671483993530273
176,ci20m309_1,5.641567707061768
177,ci12e013_0,5.629177570343018
178,ci18k307_3,5.613363742828369
179,ch08b003_0,5.6109771728515625
180,ci20m354_5,5.602232933044434
181,ci19l101_1,5.597681045532227
182,ci19l152_0,5.5671186447143555
183,ci16i007_5,5.5622406005859375
184,ci19l237_4,5.555626392364502
185,ci13f314_5,5.55388879776001
186,ci20m248_0,5.550660610198975
187,ci12e006_7,5.532033920288086
188,cd16i049_0,5.497581481933594
189,ch07a005_2,5.495485305786133
190,ci19l039_0,5.492035865783691
191,ci18k305_1,5.460439682006836
192,ci11d003_0,5.455248832702637
193,ci20m317_3,5.452816486358643
194,ci13f203_2,5.430639266967773
195,ci14g237_2,5.413896560668945
196,ci18k096_0,5.4020233154296875
197,ci15h003_0,5.398186683654785
198,ci08a314_3,5.388968467712402
199,ci16i314_2,5.376251220703125
200,cd19l073_2,5.371747970581055
201,ci17j238_3,5.368831634521484
202,ci19l048_1,5.357875347137451
203,ci16i259_3,5.356590270996094
204,ci18k301_2,5.350027561187744
205,cd14g052_1,5.340967655181885
206,cd19l049_1,5.339756488800049
207,ci11d004_0,5.325145721435547
208,ci14g310_2,5.321660995483398
209,ci09b008_2,5.314722537994385
210,ci08a205_2,5.31364631652832
211,ci11d205_3,5.3089728355407715
212,ci18k242_2,5.301648139953613
213,ci15h315_4,5.2914628982543945
214,ci10c001_5,5.278723239898682
215,ci18k100_1,5.274620532989502
216,ci17j101_1,5.262478828430176
217,ci17j178_0,5.242371559143066
218,ci12e001_1,5.237937927246094
219,ci09b243_7,5.235485553741455
220,ci13f263_8,5.230887413024902
221,ci20m264_3,5.226268768310547
222,ci08a307_3,5.22470760345459
223,ci16i314_5,5.224586009979248
224,ci15h054_1,5.213560104370117
225,ci15h099_1,5.205254554748535
226,ci18k317_4,5.203217029571533
227,ci20m306_1,5.199012279510498
228,ci15h046_2,5.190460205078125
229,ci14g045_0,5.189752578735352
230,ci15h313_1,5.187139511108398
231,ci12e154_1,5.186417579650879
232,ci20m237_4,5.184426307678223
233,ci17j022_Missing,5.169198989868164
234,ci16i264_3,5.16396951675415
235,ci16i240_4,5.141019344329834
236,ci10c314_5,5.130793571472168
237,ci09b280_5,5.116526126861572
238,ci19l317_4,5.114211559295654
239,ci20m315_5,5.113270282745361
240,cd18k074_3,5.109124660491943
241,ci09b270_4,5.104997634887695
242,ci17j354_4,5.10203742980957
243,ci19l240_2,5.090714454650879
244,ci09b154_1,5.087090492248535
245,cd12e058_2,5.084814071655273
246,ci19l226_7,5.075666427612305
247,ci18k005_6,5.071498870849609
248,ci08a160_Missing,5.070638179779053
249,ci15h039_0,5.05892276763916
250,ci10c150_0,5.053628444671631
251,ci09b205_2,5.048929214477539
252,cd17j076_4,5.047379493713379
253,ci15h053_0,5.042551040649414
254,ci17j004_0,5.039281368255615
255,ci18k008_2,5.037683486938477
256,ci14g244_8,5.035672187805176
257,ci17j006_8,5.034430980682373
258,ci11d001_5,5.006965160369873
259,ci20m005_7,5.006678581237793
260,cd15h088_Missing,5.004730224609375
261,ci17j209_Missing,4.997278690338135
262,ci17j154_1,4.976748943328857
263,ci17j246_1,4.970338821411133
264,ch20m004_5,4.9652323722839355
265,ci08a238_1,4.953053951263428
266,ci10c259_3,4.941420078277588
267,ci16i088_0,4.939260959625244
268,ci19l007_7,4.93758487701416
269,ci17j261_2,4.933288097381592
270,ci19l092_0,4.921324253082275
271,ci19l264_Missing,4.917771816253662
272,ci16i003_1,4.914693355560303
273,ci19l174_1,4.913143157958984
274,ci17j359_0,4.912473678588867
275,ci16i309_5,4.885985374450684
276,ci09b100_1,4.883370876312256
277,ci20m005_8,4.879488945007324
278,ci14g244_7,4.875885009765625
279,ci19l258_4,4.874186038970947
280,ci20m229_Missing,4.869409561157227
281,ci20m315_1,4.868437767028809
282,ci16i317_3,4.864655494689941
283,ci17j243_8,4.857855796813965
284,ci15h100_1,4.8513665199279785
285,ci17j352_3,4.847212791442871
286,ci09b226_Missing,4.845567226409912
287,ci19l101_0,4.836573123931885
288,ci16i101_0,4.822979927062988
289,ci12e004_0,4.818429946899414
290,ci20m207_3,4.817596435546875
291,ci15h209_Missing,4.806757926940918
292,ci17j239_4,4.801592826843262
293,ci14g313_1,4.799370288848877
294,ci17j244_7,4.794943809509277
295,ci15h160_Missing,4.794894695281982
296,ci11d345_0,4.788241863250732
297,ci19l100_1,4.7880353927612305
298,ch16i004_3,4.78780460357666
299,cd18k075_5,4.7868146896362305
300,cd18k077_3,4.781430721282959
301,ci12e203_2,4.777846813201904
302,ci19l207_3,4.77468204498291
303,ci13f246_0,4.767436504364014
304,ci12e296_0,4.75885009765625
305,ci11d317_2,4.756457328796387
306,ci20m007_6,4.755122661590576
307,ci20m240_4,4.752423286437988
308,ci09b006_6,4.75159215927124
309,ci20m258_5,4.738837242126465
310,ci20m239_1,4.720950603485107
311,ci18k175_2,4.720162391662598
312,ci19l092_Missing,4.710643768310547
313,ci18k242_1,4.7055487632751465
314,ci16i260_4,4.704345703125
315,ci19l315_4,4.692063331604004
316,ch17j005_4,4.6910400390625
317,ci19l211_3,4.678102016448975
318,ch19l005_3,4.672104358673096
319,ci19l045_1,4.669719696044922
320,ci16i309_1,4.6618523597717285
321,ci15h356_1,4.659566879272461
322,ci19l008_2,4.657022953033447
323,ci19l314_3,4.642808437347412
324,ci13f316_2,4.637628555297852
325,ci18k241_4,4.635348320007324
326,ci19l380_7,4.631490707397461
327,cd16i075_3,4.622994899749756
328,ci15h356_5,4.617528915405273
329,ci08a207_2,4.614439964294434
330,ci19l378_10,4.609777450561523
331,ci19l340_2,4.604490756988525
332,ci20m327_0,4.602859973907471
333,ci10c303_2,4.589260101318359
334,cd19l092_9,4.584756374359131
335,ci20m239_4,4.58203649520874
336,ci19l100_0,4.581291198730469
337,ci18k265_4,4.57356595993042
338,ci18k262_9,4.569566249847412
339,ci20m377_8,4.565793991088867
340,ci19l254_1,4.563042640686035
341,ci18k154_1,4.556367874145508
342,ci17j262_5,4.550894737243652
343,ci13f101_1,4.541062831878662
344,ci17j007_6,4.539144992828369
345,ci14g025_0,4.518176078796387
346,ci20m380_7,4.5176825523376465
347,ci14g316_5,4.512428283691406
348,ci17j252_5,4.511432647705078
349,ci14g356_2,4.507295608520508
350,ci20m315_3,4.501389026641846
351,ci18k017_0,4.497622013092041
352,ci19l207_2,4.493252277374268
353,ci20m099_1,4.491305351257324
354,ci14g259_1,4.489294052124023
355,ci08a017_0,4.4810967445373535
356,ci16i003_0,4.470302104949951
357,ci18k013_1,4.470163345336914
358,cd19l076_5,4.463186264038086
359,ci18k313_1,4.462146282196045
360,ci18k146_0,4.461697578430176
361,ci16i314_4,4.459415435791016
362,ci09b004_0,4.4552836418151855
363,ci11d316_2,4.445909023284912
364,ci15h305_1,4.444192886352539
365,ci12e146_1,4.418759346008301
366,ci12e026_0,4.415472507476807
367,ci20m352_5,4.410843849182129
